filename	abbrv	pu.trait_type	pu.phenocode	pu.coding	Legacy_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	SNP_number	Chip	Population	URL	Collection	File_number_in_study	Status_abbreviation	Data_status	Data_location	Retrieval_date	Public	Notes	Issues	abbrv_filename
SLE_Bentham_26502338_1-hg38.tsv.gz	sle	""			New addition	Bentham	2015	26502338	SLE	Systemic Lupus Erythematosus	IMD	9,066	5,201	14,267	7914824	""	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/BenthamJ_26502338_GCST003156/harmonised/26502338-GCST003156-EFO_0002690.h.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	09/10/2019	Y	Harmonized	""	sle.tsv.gz
SPONDYLOARTHRITIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	spondylo	""			SPONDYLOARTHRITIS	FinnGen	2020	FinnGenR5	SPONDYLOARTHRITIS	Spondyloarthritis (FinnGen)	IMD	198544	3037	201581		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_SPONDYLOARTHRITIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	spondylo.tsv.gz
SSC_LopezIsac_31672989_1-hg38.tsv.gz	sys-scl	""			New addition	LopezIsac	2019	31672989	SSC	Systemic Sclerosis	IMD	18,333	9,846	28,179	4723365	Multiple (See Suppl. Data 1)	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/Lopez-IsacE_31672989_GCST009131	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	30/01/2020	Y	Meta-analysis using new samples and data from Radstake (2010) and Allanore (2010)	""	sys-scl.tsv.gz
STILL_ADULT_FinnGen_FinnGenR5_1-hg38.tsv.gz	still	""			STILL_ADULT	FinnGen	2020	FinnGenR5	STILL_ADULT	Adult-onset Still disease (FinnGen)	IMD	198544	3403	201947		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_STILL_ADULT.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	still.tsv.gz
T1D_Chiou_34012112_1-hg38.tsv.gz	t1d	""			New Addition	Chiou	2021	34012112	T1D	Type 1 Diabetes	IMD	501368	18942	520310		Multiple (Meta-analysis; Affymetrix, Illumina Infinium, Illumina Omni)	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014023/GCST90014023_buildGRCh38.tsv	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2021	Y	Meta-analysis including UKBB and FInnGen, among others	""	t1d.tsv.gz
THYROIDITIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	thy	""			THYROIDITIS	FinnGen	2020	FinnGenR5	THYROIDITIS	Thyroiditis (FinnGen)	IMD	213693	956	214649		Illumina and Affymetrix	European (Finnish)	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_THYROIDITIS.gz	FinnGen	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	19/05/2021	Y	Filtered by the 300k SNPs manifest to save space	""	thy.tsv.gz
UC_DeLange_28067908_1-hg38.tsv.gz	uc-delange	""			Redownloaded	DeLange	2017	28067908	UC	Ulcerative Colitis	IMD	33,609	12,366	45,975	9486539	""	European	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/deLangeKM_28067908_GCST004133/harmonised/28067908-GCST004133-EFO_0000729.h.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	09/10/2019	Y	Harmonized	""	uc-delange.tsv.gz
glaucoma_ex.tsv.gz	glaucoma-ex	""																										glaucoma-ex.tsv.gz
iga.tsv.gz	iga	""										8000	0	8000														iga.tsv.gz
igg.tsv.gz	igg	""										8000	0	8000														igg.tsv.gz
igm.tsv.gz	igm	""										8000	0	8000														igm.tsv.gz
ph272.11_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	hyperchol-ex	phecode	272.11		phecode-272.11-both_sexes.tsv.bgz	PanUKBB	2020	PanUKBBR1	ph272.11	Hypercholesterolemia (UKBB)	OTH	394,138	47,737	441,875		""	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272.11-both_sexes.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	hyperchol-ex.tsv.gz
ph574.1_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	cholelith-ex	phecode	574.1		phecode-574.1-both_sexes.tsv.bgz	PanUKBB	2020	PanUKBBR1	ph574.1	Cholelithiasis (UKBB)	OTH	417,176	19,350	436,526		""	Trans-ethnic (AFR,CSA,EAS,EUR)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-574.1-both_sexes.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	cholelith-ex.tsv.gz
ph694_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	dyschr-vit	phecode	694		phecode-694-both_sexes.tsv.bgz	PanUKBB	2020	PanUKBBR1	ph694	Dyschromia and Vitiligo (UKBB)	IMD	412,638	1,406	414,044		""	European (EUR)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-694-both_sexes.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	dyschr-vit.tsv.gz
phecode-362.29-both_sexes.tsv.bgz	md-ex	phecode	362.29															https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-362.29-both_sexes.tsv.bgz										md-ex.tsv.gz
